  D3    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:04:27 2017
  D4    1.000  CSF2015      1      0      0   499106.12   496343.81   502499.81             Sat Jun 24 18:09:04 2017
  D5    1.000  CSF2015    542    183    542   504825.28   502937.91   499556.44             Sat Jun 24 18:10:18 2017
  D6    1.000  CSF2015    146      1    146   501961.06   495686.91   504754.12             Sat Jun 24 18:11:35 2017
  D7    1.000  CSF2015    193      1    193        0.00        0.00        0.00             Sat Jun 24 18:13:35 2017
  D7    1.000  CSF2015    193      1    193        0.00        0.00        0.00             Sat Jun 24 18:16:00 2017
  D9    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:17:43 2017
 D12    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:18:52 2017
 D16    1.000  CSF2015      1      0      0   493284.28   500725.78   497524.00             Sat Jun 24 18:20:29 2017
 D22    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:23:26 2017
 D24    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:25:37 2017
 D29    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:27:28 2017
  D3    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:03:04 2017
  D4    2.001  CSF2015     28      2     28   497422.62   498151.28   503925.38             Sat Jun 24 21:16:43 2017
  D5    2.001  CSF2015    401    199    401   501718.00   503450.53   498537.38             Sat Jun 24 21:18:10 2017
  D6    2.001  CSF2015     80      1     80   500206.50   495787.09   505680.62             Sat Jun 24 21:19:21 2017
  D7    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:23:42 2017
  D9    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:25:23 2017
 D12    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:26:28 2017
 D16    2.007  CSF2015     79      1     79   492186.41   499001.50   495906.03             Sat Jun 24 21:28:32 2017
 D22    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:30:25 2017
 D24    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:32:39 2017
 D29    2.007  CSF2015    117      2    117   490808.38   495435.03   499196.72             Sat Jun 24 21:34:15 2017
  D3    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 21:36:22 2017
  D4    1.000  CSF2015      1      0      0   499106.12   496343.81   502499.81             Sat Jun 24 21:37:43 2017
  D5    1.000  CSF2015    542    183    542   504825.28   502937.91   499556.44             Sat Jun 24 21:38:53 2017
  D6    1.000  CSF2015    146      1    146   501961.06   495686.91   504754.12             Sat Jun 24 21:40:02 2017
  D6    1.000  CSF2015    146      1    146   501961.06   495686.91   504754.12             Sat Jun 24 21:42:04 2017
  D7    1.000  CSF2015    193      1    193        0.00        0.00        0.00             Sat Jun 24 22:28:43 2017
  D9    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 22:30:26 2017
 D12    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 22:36:38 2017
 D16    1.000  CSF2015      1      0      0   493284.28   500725.78   497524.00             Sat Jun 24 22:38:42 2017
 D22    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 22:40:56 2017
 D24    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 22:42:59 2017
 D29    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 22:45:42 2017
  D3    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 22:48:06 2017
  D4    1.000  CSF2015      1      0      0   499106.12   496343.81   502499.81             Sat Jun 24 22:50:23 2017
  D5    1.000  CSF2015    542    183    542   504825.28   502937.91   499556.44             Sat Jun 24 22:51:38 2017
  D6    1.000  CSF2015    146      1    146   501961.06   495686.91   504754.12             Sat Jun 24 22:52:49 2017
  D3    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:03:20 2017
  D4    2.001  CSF2015     28      2     28   497422.62   498151.28   503925.38             Sun Jun 25 00:05:45 2017
  D5    2.001  CSF2015    401    199    401   501718.00   503450.53   498537.38             Sun Jun 25 00:07:00 2017
  D6    2.001  CSF2015     80      1     80   500206.50   495787.09   505680.62             Sun Jun 25 00:08:23 2017
  D7    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:10:04 2017
  D9    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:11:53 2017
 D12    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:13:10 2017
 D16    2.007  CSF2015     79      1     79   492186.41   499001.50   495906.03             Sun Jun 25 00:14:40 2017
 D22    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:27:21 2017
 D24    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:29:11 2017
 D29    2.007  CSF2015    117      2    117   490808.38   495435.03   499196.72             Sun Jun 25 00:31:05 2017
  D3    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:39:46 2017
  D4    1.000  CSF2015      1      0      0   499106.12   496343.81   502499.81             Sun Jun 25 00:42:48 2017
  D5    1.000  CSF2015    542    183    542   504825.28   502937.91   499556.44             Sun Jun 25 00:44:13 2017
  D6    1.000  CSF2015    146      1    146   501961.06   495686.91   504754.12             Sun Jun 25 00:46:25 2017
  D7    1.000  CSF2015    193      1    193        0.00        0.00        0.00             Sun Jun 25 00:48:31 2017
  D9    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 00:51:01 2017
 D12    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 01:00:08 2017
 D16    1.000  CSF2015      1      0      0   493284.28   500725.78   497524.00             Sun Jun 25 01:08:02 2017
 D16    1.000  CSF2015      1      0      0   493284.28   500725.78   497524.00             Sun Jun 25 01:18:05 2017
 D22    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 01:32:50 2017
 D24    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 01:34:49 2017
 D29    1.000  CSF2015      0      0      0        0.00        0.00        0.00             Sun Jun 25 01:36:45 2017
