 D16    1.000   BH2015      0      0      0   493200.69   500769.56   497539.66             Wed Jun 14 23:14:40 2017
 D22    1.000   BH2015      0      0      0   497970.09   500709.97   504585.22             Wed Jun 14 23:17:31 2017
 D24    1.000   BH2015      0      0      0   493160.34   498911.41   487737.16             Wed Jun 14 23:20:14 2017
 D24    1.000   BH2015      0      0      0   493160.34   498911.41   487737.16             Wed Jun 14 23:23:29 2017
 D29    1.000   BH2015      0      0      0   492884.97   497159.62   498542.81             Wed Jun 14 23:25:25 2017
  D3   -0.000   BH2015      0      0      0   510585.00   495530.00   496643.69             Wed Jun 14 23:30:40 2017
  D4   -0.000   BH2015      0      0      0   502034.97   493396.59   502808.75             Thu Jun 15 00:26:57 2017
  D4   -0.000   BH2015      0      0      0   502034.97   493396.59   502808.75             Thu Jun 15 00:30:45 2017
  D5   -0.000   BH2015    156      1    156   507831.16   501502.66   503233.50             Thu Jun 15 00:32:01 2017
  D6   -0.000   BH2015      0      0      0   505937.00   496042.84   500840.94             Thu Jun 15 00:32:59 2017
  D7   -0.000   BH2015      0      0      0   504154.69   502612.56   495370.31             Thu Jun 15 00:34:18 2017
  D9   -0.000   BH2015      0      0      0   499410.31   493124.19   492386.56             Thu Jun 15 00:36:21 2017
 D12   -0.000   BH2015      0      0      0   501667.75   498772.25   495719.31             Thu Jun 15 00:37:53 2017
 D16   -0.000   BH2015      0      0      0   495335.28   502074.75   492348.19             Thu Jun 15 00:39:50 2017
 D22   -0.000   BH2015      0      0      0   496125.19   498171.50   502253.75             Thu Jun 15 00:41:54 2017
 D24   -0.000   BH2015      0      0      0   490952.47   500014.59   480388.59             Thu Jun 15 00:44:17 2017
 D29   -0.000   BH2015      0      0      0   494653.84   499742.19   501447.72             Thu Jun 15 00:46:03 2017
  D3    2.007   BH2015      0      0      0   500761.41   494688.88   495889.59             Thu Jun 15 21:35:21 2017
  D4    2.001   BH2015     23      1     23   491145.84   495437.75   501747.06             Thu Jun 15 21:44:28 2017
  D5    2.001   BH2015      0      0      0   504963.62   501343.38   497023.06             Thu Jun 15 21:49:23 2017
  D6    2.001   BH2015      0      0      0   505692.88   501603.81   500067.09             Thu Jun 15 21:50:51 2017
  D7    2.007   BH2015      0      0      0   509024.34   503618.75   501022.94             Thu Jun 15 21:52:25 2017
  D9    2.001   BH2015      0      0      0   502075.94   499055.84   498181.47             Thu Jun 15 21:54:04 2017
 D12    2.007   BH2015      0      0      0   502443.25   494330.09   499643.12             Thu Jun 15 21:55:35 2017
 D16    2.007   BH2015      0      0      0   492586.25   506036.22   480933.25             Thu Jun 15 21:58:10 2017
 D22    2.007   BH2015      0      0      0   498271.88   502832.22   506261.12             Thu Jun 15 22:01:49 2017
 D24    2.007   BH2015      0      0      0   494003.88   498189.97   492440.47             Thu Jun 15 22:03:41 2017
 D29    2.007   BH2015      0      0      0   492040.97   513237.72   497995.62             Thu Jun 15 22:05:09 2017
  D3    1.000   BH2015      0      0      0   503756.66   495529.12   497123.78             Thu Jun 15 22:07:04 2017
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Thu Jun 15 22:08:27 2017
  D5    1.000   BH2015      0      0      0   506045.28   501736.41   499095.69             Thu Jun 15 22:09:46 2017
  D6    1.000   BH2015      0      0      0   505846.88   499455.50   499904.84             Thu Jun 15 22:13:47 2017
  D7    1.000   BH2015    231      1    231   507121.16   503178.16   499200.81             Thu Jun 15 22:15:26 2017
  D9    1.000   BH2015      0      0      0   501222.69   497241.34   496277.75             Thu Jun 15 22:17:08 2017
